# These data are from NREL modeled from REV. Link to data here https://www.nrel.gov/gis/wind-supply-curves.html,,,,,,,,
Grid,latitude,longitude,area_sq_km,capacity_mw,generation_mwh,capacity_factor,wind_speed_120meters,distance_to_transmission_km
49931,33.18600082,-97.22200012,113.724,341.172,1279482.395,0.428111434,7.475019932,1.147078092
57481,28.50799942,-96.78299713,60.2964,180.8892,633227.0432,0.399615854,7.191979408,1.073613736
21785,42.00999832,-97.39399719,41.7312,125.1936,517268.6054,0.471660912,8.078595161,1.40827331
30863,39.30799866,-91.51999664,109.188,327.564,1269442.57,0.442397624,7.691701412,1.13266003
55889,30.3010006,-97.55000305,75.492,226.476,802235.9615,0.404367119,7.220902443,1.088859779
51123,32.56999969,-101.5879974,127.656,382.968,1454370.922,0.433519453,7.911204815,1.17581881
31813,39.08300018,-94.78800201,76.464,229.392,886677.8448,0.441248745,7.698302746,1.330662226
52874,31.12999916,-81.49099731,0.60345,1.81035,5424.82466,0.342073202,6.644563675,0.778424433
9255,45.91199875,-94.96199799,43.7724,131.3172,542052.4946,0.471211225,7.94179821,1.225636681
42568,35.74499893,-97.67099762,127.7856,383.3568,1615498.265,0.481059968,8.257721901,1.464762312
5883,47.0870018,-95.90699768,39.6252,118.8756,490450.042,0.470975101,8.036689758,1.233334963
12462,44.77799988,-91.57499695,50.3172,150.9516,503661.2704,0.380887508,6.847121716,1.001074401
37546,36.98199844,-86.45600128,55.1772,165.5316,489510.6918,0.337580353,6.522994518,0.985897572
3985,47.86800003,-96.23200226,47.8548,143.5644,566840.9421,0.450723648,7.721458912,1.193093228
26881,40.52199936,-98.9509964,112.4928,337.4784,1451647.439,0.491033435,8.46329689,1.527545943
14638,43.95199966,-88.11599731,49.41,148.23,618105.984,0.476017296,8.090489388,1.271318764
54207,30.625,-83.23500061,20.1528,60.4584,160552.1268,0.303148419,6.106826305,0.810147139
19889,42.23099899,-85.65000153,31.9464,95.8392,362003.0488,0.431186289,7.583379745,0.834769931
51156,32.68899918,-97.34300232,1.54305,4.62915,17716.63236,0.436893731,7.538638115,1.23035248
14971,43.83800125,-87.82499695,69.2064,207.6192,824975.4083,0.453596175,7.753984928,0.881444411
42567,35.74300003,-97.80500031,128.0448,384.1344,1692428.496,0.502947927,8.683563232,1.578191026
57318,28.03700066,-82.68099976,0.054801563,0.164404687,368.0354257,0.255547315,5.725161552,0.687986015
54979,30.09000015,-82.06900024,23.2956,69.8868,191626.9442,0.313009351,6.280502796,0.844172741
54471,31.08799934,-98.19599915,110.6784,332.0352,1271373.742,0.437104225,7.575932026,1.241082362
32133,38.98799896,-95.21299744,64.8324,194.4972,728254.8285,0.427430898,7.463132858,1.348941865
48525,32.83200073,-80.6269989,3.501225,10.503675,30887.65183,0.335690856,6.44974184,1.064424289
