Plant Code,Plant Name,Prime Mover,Energy Source 1,Operating Year,Nameplate Capacity (MW)
60986.0,AIS Solar Project,PV,SUN,2016,2
60985.0,Elizabethtown Solar,PV,SUN,2016,2
60984.0,Lindberg Field Solar 2,PV,SUN,2017,1
60983.0,Buckthorn Wind Project,WT,WND,2017,100
60982.0,Atkinson Farm Solar,PV,SUN,2015,5
60981.0,NextEra Westside PV,PV,SUN,2017,20
60980.0,ZV Solar 1,PV,SUN,2016,5
60979.0,CSUF Nutwood Solar,PV,SUN,2016,1
60978.0,CSUF State College,PV,SUN,2016,1
60977.0,Dakota Solar,PV,SUN,9999,3
60976.0,"OSLH, LLC",PV,SUN,2016,9
60975.0,Whitney Point Solar,PV,SUN,2017,20
60974.0,Glendale Battery Energy Storage System,BA,MWH,2017,2
60971.0,Michael Solar,PV,SUN,2017,3
60970.0,Tyler Solar,PV,SUN,9999,5
60969.0,River Otter Solar,PV,SUN,9999,5
60968.0,Scott-II Solar LLC,PV,SUN,2017,2
60967.0,Onyx - Lamphear Road,PV,SUN,2016,2
60966.0,Lind Solar CSG,PV,SUN,2017,4
60965.0,"Cotten Farm, LLC",PV,SUN,2016,5
60964.0,Apache Solar 1,PV,SUN,2017,90
60963.0,Eisenhower Solar,PV,SUN,9999,5
60960.0,Hyperion Treatment Plant CHP Plant,GT,OBG,2017,33
